facility,period,variable,variable_clean,flag,indicator,region,district
Agule Prisons Health Centre II,2023-05-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-01-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-02-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-03-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-04-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-05-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-06-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-07-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-08-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-09-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-10-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-11-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-12-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-01-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-02-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-03-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-04-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-05-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-06-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-07-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-08-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-09-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-10-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-11-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-12-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-01-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-02-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-03-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-04-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-05-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-06-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-07-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-08-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-09-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-10-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-11-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-12-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-01-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-02-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-03-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-04-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-05-01,0,0,None,x105_es09d_death_at_unit_surgical_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-01-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-02-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-03-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-04-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-05-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-06-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-07-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-08-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-09-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-10-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-11-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-12-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-01-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-02-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-03-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-04-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-05-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-06-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-07-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-08-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-09-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-10-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-11-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-12-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-01-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-02-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-03-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-04-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-05-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-06-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-07-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-08-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-09-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-10-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-11-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-12-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-01-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-02-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-03-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-04-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-05-01,0,0,None,x105_es09c_death_at_unit_paediatric_emergencies,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-01-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-02-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-03-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-04-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-05-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-06-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-07-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-08-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-09-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-10-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-11-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-12-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-01-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-02-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-03-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-04-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-05-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-06-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-07-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-08-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-09-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-10-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-11-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-12-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-01-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-02-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-03-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-04-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-05-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-06-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-07-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-08-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-09-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-10-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-11-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-12-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-01-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-02-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-03-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-04-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-05-01,0,0,None,x105_ma11_newborn_deaths_0_7_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-01-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-02-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-03-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-04-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-05-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-06-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-07-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-08-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-09-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-10-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-11-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-12-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-01-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-02-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-03-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-04-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-05-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-06-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-07-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-08-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-09-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-10-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-11-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-12-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-01-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-02-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-03-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-04-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-05-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-06-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-07-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-08-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-09-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-10-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-11-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-12-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-01-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-02-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-03-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-04-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-05-01,0,0,None,x105_ma13_maternal_deaths,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-01-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-02-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-03-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-04-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-05-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-06-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-07-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-08-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-09-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-10-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-11-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-12-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-01-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-02-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-03-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-04-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-05-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-06-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-07-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-08-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-09-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-10-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-11-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-12-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-01-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-02-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-03-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
